"inn_clean","ema_ma_date","orphan_flag"
"glycopyrronium;formoterol fumarate dihydrate",2018-12-18,"No"
"golimumab",2009-10-01,"No"
"gozetotide",2022-12-09,"No"
"granisetron",2012-04-20,"No"
"guanfacine",2015-09-17,"No"
"guselkumab",2017-11-10,"No"
"hepatitis a (inactivated) and hepatitis b (rdna) (hab) vaccine (adsorbed)",1997-02-10,"No"
"hepatitis b surface antigen",2021-02-18,"No"
"hepatitis b vaccine (recombinant dna)",2001-04-27,"No"
"hepatitis a (inactivated) and hepatitis b (rdna) (hab) vaccine (adsorbed)",1996-09-19,"No"
"hepatitis b (rdna) vaccine (adjuvanted, adsorbed)",2005-02-02,"No"
"herpes zoster vaccine (recombinant, adjuvanted)",2018-03-21,"No"
"histamine dihydrochloride",2008-10-07,"No"
"human coagulation factor viii / human von willebrand factor",2013-08-12,"No"
"human coagulation factor x",2016-03-16,"Yes"
"human fibrinogen;human thrombin",2004-06-08,"No"
"human hepatitis b immunoglobulin",2009-11-30,"No"
"human insulin (rdna)",2002-10-07,"No"
"human normal immunoglobulin",2006-01-19,"No"
"human normal immunoglobulin (ivig)",2008-04-24,"No"
"human normal immunoglobulin (scig)",2011-04-14,"No"
"human papillomavirus 9-valent vaccine (recombinant, adsorbed)",2015-06-10,"No"
"human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed)",2007-09-20,"No"
"human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)",2006-09-20,"No"
"human protein c",2001-07-16,"No"
"hydrocortisone",2011-11-03,"No"
"hydroxocobalamin",2007-11-23,"No"
"hydroxycarbamide",2007-06-29,"No"
"ibandronic acid",1996-06-25,"No"
"ibrutinib",2014-10-21,"No"
"ibuprofen",2004-07-28,"No"
"icatibant",2008-07-11,"No"
"icosapent ethyl",2021-03-26,"No"
"idarucizumab",2015-11-20,"No"
"idebenone",2015-09-08,"No"
"idecabtagene vicleucel",2021-08-18,"Yes"
"idelalisib",2014-09-18,"No"
"idursulfase",2007-01-08,"No"
"iloprost",2003-09-15,"No"
"imatinib",2001-11-07,"No"
"imetelstat",2025-03-07,"Yes"
"imiglucerase",1997-11-17,"No"
"imipenem;cilastatin;relebactam",2020-02-13,"No"
"imiquimod",1998-09-18,"No"
"imlifidase",2020-08-25,"Yes"
"imlunestrant",2026-01-09,"No"
"inavolisib",2025-07-18,"No"
"inclisiran",2020-12-09,"No"
"indacaterol",2009-11-29,"No"
"indacaterol;glycopyrronium bromide",2013-09-18,"No"
"indacaterol;glycopyrronium bromide;mometasone",2020-07-03,"No"
"indacaterol;glycopyrronium;mometasone furoate",2020-07-03,"No"
"indacaterol;mometasone",2020-05-30,"No"
"inebilizumab",2022-04-25,"No"
"infliximab",1999-08-13,"No"
"influenza mrna vaccine;covid-19 mrna vaccine",2026-04-20,"No"
"influenza vaccine (live attenuated, nasal)",2024-06-03,"No"
"influenza vaccine (surface antigen, inactivated, adjuvanted)",2024-11-15,"No"
"influenza vaccine (surface antigen, inactivated, prepared in cell cultures)",2024-11-15,"No"
"inotersen",2018-07-06,"Yes"
"inotuzumab ozogamicin",2017-06-28,"Yes"
"insulin aspart",1999-09-07,"No"
"insulin degludec",2013-01-20,"No"
"insulin degludec;insulin aspart",2013-01-21,"No"
"insulin degludec;liraglutide",2014-09-18,"No"
"insulin detemir",2004-06-01,"No"
"insulin glargine",2000-06-09,"No"
"insulin glargine;lixisenatide",2017-01-11,"No"
"insulin glulisine",2004-09-27,"No"
"insulin human",1997-02-21,"No"
"insulin human (rdna)",2002-10-07,"No"
"insulin icodec",2024-05-17,"No"
"insulin icodec;semaglutide",2025-11-24,"No"
"insulin lispro",1996-04-30,"No"
"interferon beta-1a",1997-03-13,"No"
"interferon beta-1b",1995-11-30,"No"
"ioflupane (123i)",2021-06-17,"No"
"ioflupane (123l)",2000-07-27,"No"
"ipilimumab",2011-07-13,"No"
"iptacopan",2024-05-17,"Yes"
"irbesartan",1997-08-26,"No"
"irbesartan;hydrochlorothiazide",1998-10-14,"No"
"irinotecan hydrochloride trihydrate",2016-10-14,"Yes"
"isatuximab",2020-05-30,"No"
"isavuconazole",2015-10-15,"Yes"
"ivabradine",2005-10-25,"No"
"ivacaftor",2012-07-23,"No"
"ivacaftor;tezacaftor;elexacaftor",2020-08-21,"Yes"
"ivosidenib",2023-05-04,"Yes"
"ixazomib",2016-11-21,"Yes"
"ixekizumab",2016-04-25,"No"
"japanese encephalitis vaccine (inactivated, adsorbed)",2009-03-31,"No"
"ketoconazole",2014-11-18,"No"
"l-acetylleucine",2026-01-19,"Yes"
"lacosamide",2008-08-29,"No"
"lamivudine",1996-08-08,"No"
"lamivudine;zidovudine",1998-03-18,"No"
"lanadelumab",2018-11-22,"Yes"
"lapatinib",2008-06-10,"No"
"laronidase",2003-06-09,"No"
"larotrectinib",2019-09-19,"No"
"lasmiditan",2022-08-17,"No"
"latanoprost",2023-11-15,"No"
"latanoprost / netarsudil",2021-01-07,"No"
"lazertinib",2025-01-20,"No"
"lebrikizumab",2023-11-16,"No"
"lecanemab",2025-04-15,"No"
"ledispavir;sofosbuvir",2014-11-17,"No"
"lefamulin",2020-07-27,"No"
"leflunomide",1999-09-02,"No"
"lenacapavir",2022-08-17,"No"
"lenalidomide",2007-06-14,"No"
"leniolisib",2026-05-21,"Yes"
"lenvatinib",2015-05-28,"No"
"letermovir",2018-01-08,"Yes"
"leuprorelin",2022-05-24,"No"
"levetiracetam",2000-09-29,"No"
"levodopa",2019-09-19,"No"
"levodopa;carbidopa",2026-04-27,"No"
"levodopa;carbidopa;entacapone",2003-10-17,"No"
"levofloxacin",2015-03-25,"No"
"lidocaine;prilocaine",2013-11-15,"No"
"linaclotide",2012-11-26,"No"
"linagliptin",2011-08-23,"No"
"linagliptin;metformin hydrochloride",2012-07-19,"No"
"linvoseltamab",2025-04-23,"No"
"linzagolix choline",2022-06-14,"No"
"lipegfilgrastim",2013-07-25,"No"
"liraglutide",2009-06-30,"No"
"lisocabtagene maraleucel",2022-04-04,"No"
"lomitapide",2013-07-31,"No"
"lonafarnib",2022-07-18,"Yes"
"lonapegsomatropin",2022-01-11,"Yes"
"loncastuximab tesirine",2022-12-20,"No"
"lonoctocog alfa",2017-01-04,"No"
"lopinavir;ritonavir",2001-03-19,"No"
"lorlatinib",2019-05-06,"No"
"loxapine",2013-02-20,"No"
"lumacaftor;ivacaftor",2015-11-19,"No"
"lumasiran",2020-11-19,"Yes"
"lurasidone",2014-03-21,"No"
"lurbinectedin",2026-05-29,"Yes"
"luspatercept",2020-06-25,"Yes"
"lutetium (177lu) chloride",2016-07-06,"No"
"lutetium (177lu) oxodotreotide",2017-09-26,"Yes"
